stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e1,nasa,direct,B0005,42,4.89374303817749,5.60838883000766,0.6509103775024414,4.89374303817749,23.809523809523807,,,,
e3,nasa,hipif,B0005,42,4.6899431625675145,5.591609741237055,0.652996098950499,4.823329925537109,7.738095238095238,0.0,77.99145299145299,0.6,5.0
e1,nasa,direct,B0006,42,7.9903388023376465,9.816773085565163,0.3895384669303894,7.9903388023376465,16.071428571428573,,,,
e3,nasa,hipif,B0006,42,7.205693696964043,9.176020976972477,0.46662875797160974,7.4993062019348145,10.714285714285714,0.0,72.64957264957265,0.6,5.0
e1,nasa,direct,B0007,42,4.37998104095459,5.078281247596228,0.5994077920913696,4.37998104095459,37.5,,,,
e3,nasa,hipif,B0007,42,3.3066934736073703,3.835261933670258,0.7715142771169199,3.8373851776123047,30.952380952380953,0.0,81.19658119658119,0.6,5.0
e1,nasa,direct,B0018,42,6.145338535308838,6.771539019465123,0.22959190607070923,6.145338535308838,3.787878787878788,,,,
e3,nasa,hipif,B0018,42,6.628330508748258,7.190955262878265,0.1312011879077909,6.596818923950195,0.0,0.0,72.22222222222221,0.6,5.0
e1,nasa,direct,B0005,123,12.588567733764648,14.212856672738408,-1.2419371604919434,12.588567733764648,90.47619047619048,,,,
e3,nasa,hipif,B0005,123,2.6773144681285075,2.87663862608739,0.9081601286094476,10.570475578308105,83.33333333333334,0.0,14.743589743589745,0.6,5.0
e1,nasa,direct,B0006,123,7.085221290588379,8.552693564001169,0.5366314053535461,7.085221290588379,78.57142857142857,,,,
e3,nasa,hipif,B0006,123,2.883587595038919,3.5973451404269476,0.918024322380248,4.373912334442139,41.66666666666667,0.0,13.034188034188036,0.6,5.0
e1,nasa,direct,B0007,123,8.815678596496582,9.625831469007057,-0.43928074836730957,8.815678596496582,93.45238095238095,,,,
e3,nasa,hipif,B0007,123,2.2044119948936833,2.3767723964509813,0.912250591415033,8.146418571472168,93.45238095238095,0.0,15.81196581196581,0.6,5.0
e1,nasa,direct,B0018,123,5.194402694702148,6.138450023830801,0.366912841796875,5.194402694702148,75.75757575757575,,,,
e3,nasa,hipif,B0018,123,1.896512772844742,2.187525866947873,0.9196006682686442,5.084062576293945,69.6969696969697,0.0,11.11111111111111,0.6,5.0
