stage,dataset,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mae_raw_mean,mae_raw_std,raw_pvr_mean,raw_pvr_std,proj_pvr_mean,proj_pvr_std,pvr_I1_mean,pvr_I1_std,pvr_I2_mean,pvr_I2_std,pvr_I3_mean,pvr_I3_std,pvr_I4_mean,pvr_I4_std,pvr_all_mean,pvr_all_std
e5,calce,drop_I1,3.954,0.5882,4.6099,0.8255,0.9174,0.0301,22.2546,3.271,79.5394,6.1454,0.0,0.0,0.0,0.0,3.4865,1.8088,0.1902,0.7314,78.8884,6.0405,79.8993,6.0434
e5,calce,drop_I2,4.0056,0.7209,4.7051,1.0526,0.9129,0.0401,21.0695,3.8756,79.1339,6.4348,0.0,0.0,0.0116,0.0563,4.9866,2.9598,0.0882,0.2865,78.3718,6.4313,79.4662,6.3513
e5,calce,drop_I3,3.9485,0.6009,4.6111,0.8087,0.9176,0.0287,22.0961,3.4225,79.6783,6.4132,0.0,0.0,0.0058,0.0402,3.5585,2.907,0.1377,0.3728,79.0204,6.2895,79.9837,6.2873
e5,calce,drop_I4,5.0732,1.0185,6.7025,1.5697,0.8266,0.0644,5.8466,0.9343,29.7596,19.5137,0.0,0.0,0.1066,0.1668,13.4396,3.6107,0.0072,0.05,28.216,20.6293,37.492,16.2146
e5,nasa,drop_I1,2.2903,0.2859,2.5529,0.2909,0.9216,0.0218,12.718,3.6019,84.0588,12.2906,0.0,0.0,0.1116,0.4392,11.6613,6.1647,0.0,0.0,83.4551,13.0076,86.9521,10.8841
e5,nasa,drop_I2,2.2957,0.2744,2.5618,0.2847,0.9211,0.0219,12.187,3.6255,82.5352,13.1059,0.0,0.0,0.1116,0.4392,11.8354,7.2836,0.0,0.0,81.8469,13.3457,85.2357,11.7473
e5,nasa,drop_I3,2.3111,0.2943,2.5855,0.3029,0.9188,0.026,12.8046,3.6087,84.3598,12.0314,0.0,0.0,0.1116,0.4392,11.8151,6.011,0.093,0.5261,83.8051,12.4762,87.4357,10.6251
e5,nasa,drop_I4,2.3228,0.232,2.6506,0.3042,0.9124,0.0367,4.4944,1.7104,49.814,31.599,0.0,0.0,0.2604,0.7081,14.859,5.5691,0.0,0.0,48.4375,30.6644,56.4445,27.8239
e6,calce,calib_H0,20.434,2.4205,22.9316,2.7166,-1.0723,0.7368,20.6166,2.419,0.0221,0.1531,0.0,0.0,,,,,,,,,,
e6,calce,calib_H1,3.9795,0.6156,4.6442,0.8619,0.9161,0.0315,22.1006,3.3365,79.6884,6.5554,0.0,0.0,,,,,,,,,,
e6,calce,calib_H2,3.9899,0.6388,4.6598,0.8946,0.9155,0.0326,22.015,3.4027,79.7125,6.575,0.0,0.0,,,,,,,,,,
e6,nasa,calib_H0,3.3187,1.3356,3.8101,1.347,0.7808,0.191,4.4241,1.9067,0.1116,0.4392,0.0,0.0,,,,,,,,,,
e6,nasa,calib_H1,2.2862,0.2846,2.5483,0.2966,0.9217,0.0226,12.7261,3.5406,84.0317,12.9031,0.0,0.0,,,,,,,,,,
e6,nasa,calib_H2,2.2828,0.2926,2.5522,0.2996,0.9217,0.0222,12.6673,3.5389,84.0047,12.3728,0.0,0.0,,,,,,,,,,
