stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e5,nasa,drop_I1,B0005,42,2.830735108308131,2.994860157537627,0.9004563071755726,14.422818183898926,90.47619047619048,0.0,0.0,10.714285714285714,0.0,90.47619047619048,92.85714285714286
e5,nasa,drop_I2,B0005,42,2.7745720787265364,2.9550604485075675,0.9030844666801409,12.109148025512695,83.92857142857143,0.0,0.0,7.738095238095238,0.0,82.73809523809523,84.52380952380952
e5,nasa,drop_I3,B0005,42,2.9051033793193732,3.097577372080107,0.8935109438395119,14.289897918701172,91.66666666666666,0.0,0.0,12.5,0.0,91.07142857142857,94.64285714285714
e5,nasa,drop_I4,B0005,42,2.4382272283791426,2.6964094206387896,0.9193076575091227,3.9794681072235107,48.214285714285715,0.0,0.0,7.142857142857142,0.0,48.214285714285715,54.761904761904766
e6,nasa,calib_H0,B0005,42,2.519172033851842,2.8085583934775338,0.912455761927375,2.8237316608428955,0.0,0.0,,,,,
e6,nasa,calib_H1,B0005,42,2.801420558142396,2.960304165450564,0.9027402107652032,14.068076133728027,90.47619047619048,0.0,,,,,
e6,nasa,calib_H2,B0005,42,2.8694603570790727,3.039229810408935,0.8974849253424054,13.130287170410156,89.88095238095238,0.0,,,,,
e5,nasa,drop_I1,B0006,42,2.037993568147893,2.370916459271114,0.9643915308084836,12.30303955078125,75.59523809523809,0.0,0.0,6.547619047619048,0.0,75.59523809523809,76.19047619047619
e5,nasa,drop_I2,B0006,42,2.1487822249911583,2.5248878981280374,0.9596164027455161,8.231165885925293,64.28571428571429,0.0,0.0,6.547619047619048,0.0,64.28571428571429,66.66666666666666
e5,nasa,drop_I3,B0006,42,2.1229017019742726,2.518028075909601,0.9598355395846305,10.471196174621582,67.85714285714286,0.0,0.0,11.30952380952381,0.0,67.85714285714286,73.21428571428571
e5,nasa,drop_I4,B0006,42,2.1031589281470557,2.4708127360169447,0.9613276589514352,3.5851216316223145,49.404761904761905,0.0,0.0,16.666666666666664,0.0,49.404761904761905,52.976190476190474
e6,nasa,calib_H0,B0006,42,4.351890146422043,4.867180594411424,0.8499362751560444,1.6840051412582397,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,42,2.0465058129792615,2.3922801900606845,0.9637469217429127,11.897193908691406,73.80952380952381,0.0,,,,,
e6,nasa,calib_H2,B0006,42,2.1237861389882235,2.4943031749332656,0.9605888343916188,10.452847480773926,68.45238095238095,0.0,,,,,
e5,nasa,drop_I1,B0007,42,2.412169115775366,2.624822674514248,0.8929790144106595,17.32587432861328,94.04761904761905,0.0,0.0,8.333333333333332,0.0,92.26190476190477,96.42857142857143
