dataset,cell,seed,combo,mono,rate,floor,mae
calce,CS2_33,7,clip_only,0,0,0,25.86919383253842
calce,CS2_33,7,floor,0,0,1,4.381434877143189
calce,CS2_33,7,rate,0,1,0,23.69860925836442
calce,CS2_33,7,rate+floor,0,1,1,4.379116884564599
calce,CS2_33,7,mono,1,0,0,25.775251718190106
calce,CS2_33,7,mono+floor,1,0,1,4.148836835219646
calce,CS2_33,7,mono+rate,1,1,0,23.671511313889727
calce,CS2_33,7,mono+rate+floor,1,1,1,4.148836835219646
calce,CS2_33,42,clip_only,0,0,0,28.46536775989841
calce,CS2_33,42,floor,0,0,1,3.677675562866409
calce,CS2_33,42,rate,0,1,0,25.827635430030607
calce,CS2_33,42,rate+floor,0,1,1,3.6525033949747674
calce,CS2_33,42,mono,1,0,0,28.32411823579209
calce,CS2_33,42,mono+floor,1,0,1,3.439445649708427
calce,CS2_33,42,mono+rate,1,1,0,25.665267005787275
calce,CS2_33,42,mono+rate+floor,1,1,1,3.439192350882002
calce,CS2_33,99,clip_only,0,0,0,25.094403749250098
calce,CS2_33,99,floor,0,0,1,5.956724735901464
calce,CS2_33,99,rate,0,1,0,23.37379153234556
calce,CS2_33,99,rate+floor,0,1,1,5.97825032477426
calce,CS2_33,99,mono,1,0,0,23.57472351103142
calce,CS2_33,99,mono+floor,1,0,1,4.996887178244392
calce,CS2_33,99,mono+rate,1,1,0,21.84440517599986
calce,CS2_33,99,mono+rate+floor,1,1,1,4.995367938090447
calce,CS2_33,123,clip_only,0,0,0,29.05945182782673
calce,CS2_33,123,floor,0,0,1,4.396082489942792
calce,CS2_33,123,rate,0,1,0,26.391588694090718
calce,CS2_33,123,rate+floor,0,1,1,4.40131034829689
calce,CS2_33,123,mono,1,0,0,27.86311788254573
calce,CS2_33,123,mono+floor,1,0,1,3.615868450090666
calce,CS2_33,123,mono+rate,1,1,0,25.177619697263996
calce,CS2_33,123,mono+rate+floor,1,1,1,3.615732259869489
calce,CS2_33,256,clip_only,0,0,0,25.77376105328355
calce,CS2_33,256,floor,0,0,1,4.51734839669447
calce,CS2_33,256,rate,0,1,0,24.155478711830245
calce,CS2_33,256,rate+floor,0,1,1,4.531347908318742
calce,CS2_33,256,mono,1,0,0,25.470177326002577
calce,CS2_33,256,mono+floor,1,0,1,4.165047005096538
calce,CS2_33,256,mono+rate,1,1,0,23.831505888803342
calce,CS2_33,256,mono+rate+floor,1,1,1,4.165047005096538
calce,CS2_33,1234,clip_only,0,0,0,26.765689766159234
calce,CS2_33,1234,floor,0,0,1,4.4193373698426734
calce,CS2_33,1234,rate,0,1,0,24.56785989577256
calce,CS2_33,1234,rate+floor,0,1,1,4.408910142240606
calce,CS2_33,1234,mono,1,0,0,26.31229591821553
calce,CS2_33,1234,mono+floor,1,0,1,4.001869118141136
calce,CS2_33,1234,mono+rate,1,1,0,24.094121535986837
calce,CS2_33,1234,mono+rate+floor,1,1,1,3.997001771599721
calce,CS2_33,2024,clip_only,0,0,0,26.309965362725027
calce,CS2_33,2024,floor,0,0,1,4.383429525998063
calce,CS2_33,2024,rate,0,1,0,24.573928028609327
calce,CS2_33,2024,rate+floor,0,1,1,4.380085839041893
calce,CS2_33,2024,mono,1,0,0,26.027248401500355
calce,CS2_33,2024,mono+floor,1,0,1,4.045199308098983
calce,CS2_33,2024,mono+rate,1,1,0,24.270749930663403
calce,CS2_33,2024,mono+rate+floor,1,1,1,4.045199308098983
calce,CS2_33,2718,clip_only,0,0,0,25.04956064378417
calce,CS2_33,2718,floor,0,0,1,3.7541946546078497
calce,CS2_33,2718,rate,0,1,0,23.74999351906538
calce,CS2_33,2718,rate+floor,0,1,1,3.7663473352081467
calce,CS2_33,2718,mono,1,0,0,25.07550204775444
calce,CS2_33,2718,mono+floor,1,0,1,3.589641939765331
calce,CS2_33,2718,mono+rate,1,1,0,23.76125296888335
