stage,dataset,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mae_raw_mean,mae_raw_std,raw_pvr_mean,raw_pvr_std,proj_pvr_mean,proj_pvr_std,accept_rate_mean,accept_rate_std,k0_labelfree_mean,k0_labelfree_std,n_refine_iters_mean,n_refine_iters_std
e1,calce,direct,24.1764,2.8768,27.1234,3.1903,-1.8911,1.0143,24.1764,2.8768,80.5598,6.1836,,,,,,,,
e1,nasa,direct,14.5091,3.1974,16.6956,3.0421,-2.6038,1.8998,14.5091,3.1974,88.7294,8.0191,,,,,,,,
e2,calce,coral,21.6965,3.0309,25.1412,3.5952,-1.465,0.8354,21.6965,3.0309,75.6097,10.0998,,,,,,,,
e2,calce,dann,21.8424,3.3335,24.1562,3.9114,-1.3193,0.9408,21.8424,3.3335,79.6264,6.6466,,,,,,,,
e2,calce,self_train,21.3777,2.8805,23.6518,3.2512,-1.2034,0.7966,21.3777,2.8805,78.5547,6.5826,,,,,,,,
e2,nasa,coral,18.4798,8.1197,20.5556,7.7786,-4.7268,4.2755,18.4798,8.1197,94.0172,6.5298,,,,,,,,
e2,nasa,dann,12.7141,5.176,14.1868,5.0746,-1.8102,2.3867,12.7141,5.176,80.3521,21.6295,,,,,,,,
e2,nasa,self_train,11.7571,3.4642,13.4514,3.5694,-1.3935,1.5108,11.7571,3.4642,86.2317,11.6813,,,,,,,,
e3,calce,hipif,3.9615,0.5677,4.6115,0.7789,0.9177,0.0274,22.2509,3.2315,79.9542,6.1016,0.0,0.0,19.3914,1.9307,0.35,0.0,14.0,0.0
e3,nasa,hipif,2.2901,0.2865,2.5578,0.304,0.9209,0.0247,12.7554,3.5233,83.9049,13.3367,0.0,0.0,11.6796,7.1929,0.6,0.0,14.0,0.0
e4,calce,direct_proj,3.8796,0.5861,4.5075,0.8118,0.9211,0.0288,24.1764,2.8768,80.5598,6.1836,0.0,0.0,,,,,,
e4,calce,no_anchor,3.94,0.6041,4.5843,0.8221,0.9185,0.0289,19.2567,4.2856,80.5848,6.5217,0.0,0.0,19.2757,1.9484,0.35,0.0,14.0,0.0
e4,calce,no_gate,4.9161,0.9554,6.414,1.499,0.8411,0.0613,5.7128,0.9452,31.0951,19.1958,0.0,0.0,100.0,0.0,0.35,0.0,14.0,0.0
e4,calce,no_projection,3.9238,0.6075,4.5634,0.8707,0.9188,0.0328,24.3041,3.0216,80.3211,6.4749,0.0,0.0,19.2458,2.0045,0.35,0.0,14.0,0.0
e4,nasa,direct_proj,2.3245,0.265,2.5861,0.2644,0.9181,0.0256,14.5091,3.1974,88.7294,8.0191,0.0,0.0,,,,,,
e4,nasa,no_anchor,2.2991,0.2893,2.583,0.3265,0.9213,0.0178,8.1168,3.7214,73.7199,19.2176,0.0,0.0,13.5631,7.2278,0.6,0.0,14.0,0.0
e4,nasa,no_gate,2.3411,0.2059,2.6721,0.2692,0.9111,0.0349,4.4354,1.7457,48.2515,30.8455,0.0,0.0,100.0,0.0,0.6,0.0,14.0,0.0
e4,nasa,no_projection,2.2768,0.3044,2.5393,0.312,0.9219,0.0246,13.9025,3.1685,87.3749,8.1845,0.0,0.0,9.7227,5.5904,0.6,0.0,13.8125,1.0607
