method_a,method_b,metric,delta_point,delta_ci_lo,delta_ci_hi,sign_test_p,cliff_delta,n_cells,n_pairs,a_better_ci_excludes_0,dataset
hipif,direct,mae,-12.219001805635564,-14.648460565842841,-10.311058688421058,0.125,1.0,4,32,True,nasa
hipif,coral,mae,-16.18962701246368,-25.139256869776858,-11.236892547177758,0.125,1.0,4,32,True,nasa
hipif,self_train,mae,-9.466941824408645,-11.648112237888887,-7.554274307563927,0.125,1.0,4,32,True,nasa
hipif,dann,mae,-10.423974013181798,-12.784229462878454,-8.297849939863756,0.125,1.0,4,32,True,nasa
hipif,no_gate,mae,-0.05099914542923044,-0.28841767529488727,0.10971488291696332,1.0,-0.5,4,32,False,nasa
hipif,no_anchor,mae,-0.008907070684261227,-0.09730724492247761,0.06121949991117807,1.0,-0.5,4,32,False,nasa
hipif,no_projection,mae,0.01337245708704353,-0.029961761846409102,0.05986995095903097,0.625,0.0,4,32,False,nasa
hipif,direct_proj,mae,-0.03433465062037686,-0.09767988916536958,0.03886557087392587,0.625,0.5,4,32,False,nasa
hipif,direct,mae,-20.214972245783667,-22.512579597796304,-18.290152793324616,0.03125,1.0,6,48,True,calce
hipif,coral,mae,-17.73502181777463,-20.09531660691323,-15.546944336542046,0.03125,1.0,6,48,True,calce
hipif,self_train,mae,-17.416271118413466,-19.279906755633103,-15.737135806437717,0.03125,1.0,6,48,True,calce
hipif,dann,mae,-17.88097598959114,-19.803480959516044,-16.16889209102439,0.03125,1.0,6,48,True,calce
hipif,no_gate,mae,-0.9546484812874564,-1.3748843167478284,-0.605596210580611,0.03125,1.0,6,48,True,calce
hipif,no_anchor,mae,0.02146209822366969,-0.048708513003225706,0.09285836244476328,0.46875,-0.3333333333333333,6,48,False,calce
hipif,no_projection,mae,0.037625021168685734,-0.01068724684604637,0.08745798925199452,0.03125,-1.0,6,48,False,calce
hipif,direct_proj,mae,0.08185340513078739,0.02902485086596707,0.13730071044261408,0.03125,-1.0,6,48,False,calce
